Trades,Header,Platform,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,Units,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Term
Trades,Data,IBKR,Order,Stocks,USD,QQQ,2023-05-09 09:30:02,5,Stocks,321.98,321.64,-1609.9,-1.0,1610.9,0.0,-1.7,O,
Trades,Data,IBKR,Order,Stocks,USD,RSP,2023-04-25 13:49:53,15,Stocks,142.975,142.72,-2144.625,-1.0,2145.625,0.0,-3.825,O,
Trades,Data,IBKR,Order,Stocks,USD,RSP,2023-05-25 12:17:53,-15,Stocks,139.582,139.92,2093.73,-1.01892484,-2145.625,-52.913925,-5.07,C,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,2023-02-03 13:09:39,42,Stocks,48.585,48.5,-2040.57,-1.0,2041.57,0.0,-3.57,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,2023-02-07 09:30:00,62,Stocks,48.09,48.84,-2981.58,-1.0,2982.58,0.0,46.5,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,2023-02-15 09:30:00,41,Stocks,48.26,48.69,-1978.66,-1.0,1979.66,0.0,17.63,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,2023-04-18 10:04:26,41,Stocks,48.67,48.7,-1995.47,-1.0,1996.47,0.0,1.23,O,
Trades,Data,IBKR,Order,Stocks,USD,SPLG,2023-05-02 09:30:00,41,Stocks,48.75,48.31,-1998.75,-1.0,1999.75,0.0,-18.04,O,
Trades,Data,IBKR,Order,Stocks,USD,SPYG,2023-05-09 09:30:00,10,Stocks,55.9,55.83,-559.0,-1.0,560.0,0.0,-0.7,O,
Trades,Data,IBKR,Order,Stocks,USD,SPYG,2023-05-17 13:13:36,8,Stocks,56.5773,56.66,-452.6184,-1.0,453.6184,0.0,0.6616,O,
Trades,Data,IBKR,Order,Stocks,USD,SPYG,2023-05-18 10:34:57,7,Stocks,56.97,57.25,-398.79,-1.0,399.79,0.0,1.96,O,
Trades,Data,IBKR,Order,Stocks,USD,SPYG,2023-05-26 12:25:30,18,Stocks,57.81,57.87,-1040.58,-1.0,1041.58,0.0,1.08,O,
Trades,Data,IBKR,Order,Stocks,USD,VGT,2023-05-17 13:13:40,1,Stocks,393.3073,394.23,-393.3073,-1.0,394.3073,0.0,0.9227,O,
Trades,Data,IBKR,Order,Stocks,USD,VGT,2023-05-18 10:29:15,3,Stocks,398.55,401.97,-1195.65,-1.0,1196.65,0.0,10.26,O,
Trades,Data,IBKR,Order,Stocks,USD,VGT,2023-05-25 12:22:16,5,Stocks,406.99,407.71,-2034.95,-1.0,2035.95,0.0,3.6,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,2023-02-03 13:09:56,5,Stocks,379.53,378.85,-1897.65,-1.0,1898.65,0.0,-3.4,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,2023-02-07 09:30:00,8,Stocks,375.79,381.52,-3006.32,-1.0,3007.32,0.0,45.84,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,2023-02-15 09:30:00,5,Stocks,377.15,380.48,-1885.75,-1.0,1886.75,0.0,16.65,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,2023-04-18 10:04:26,5,Stocks,380.22,380.54,-1901.1,-1.0,1902.1,0.0,1.6,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,2023-04-25 13:58:56,6,Stocks,373.96,373.1,-2243.76,-1.0,2244.76,0.0,-5.16,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,2023-05-02 09:30:00,5,Stocks,381.06,377.51,-1905.3,-1.0,1906.3,0.0,-17.75,O,
Trades,Data,IBKR,Order,Stocks,USD,VOOG,2023-05-08 09:31:03,5,Stocks,233.26,233.64,-1166.3,-1.0,1167.3,0.0,1.9,O,
Trades,Data,IBKR,Order,Stocks,USD,VOOG,2023-05-09 09:31:03,1,Stocks,233.26,233.64,-1166.3,-1.0,1167.3,0.0,1.9,O,
